model,method,wikitext2_ppl
gpt2-large,int4_per_channel,26.95
gpt2-xl,int4_per_channel,120.10
phi-2,int4_per_channel,12.38
opt-2.7b,int4_per_channel,51.37
llama-2-7b,int4_per_channel,7.15
qwen2.5-7b,int4_per_channel,11.87
deepseek-llm-7b,int4_per_channel,8.63
mistral-7b,int4_per_channel,6.33
qwen2.5-14b,int4_per_channel,7.72
gpt2-large,mxfp8_pg_g32,19.47
gpt2-xl,mxfp8_pg_g32,17.42
phi-2,mxfp8_pg_g32,9.74
opt-2.7b,mxfp8_pg_g32,12.51
llama-2-7b,mxfp8_pg_g32,5.49
qwen2.5-7b,mxfp8_pg_g32,6.87
deepseek-llm-7b,mxfp8_pg_g32,6.85
mistral-7b,mxfp8_pg_g32,5.27
qwen2.5-14b,mxfp8_pg_g32,5.33
gpt2-large,fp16,19.44
gpt2-xl,fp16,17.41
phi-2,fp16,9.71
opt-2.7b,fp16,12.48
llama-2-7b,fp16,5.47
qwen2.5-7b,fp16,6.85
deepseek-llm-7b,fp16,6.84
mistral-7b,fp16,5.25
qwen2.5-14b,fp16,5.29
