model,weight_config,act_quant,wikitext2_ppl_ours
phi-2,FP16,none,9.71
phi-2,FP16,fp8_e4m3,10.18
phi-2,Posit41,none,12.20
phi-2,Posit41,fp8_e4m3,12.52
phi-2,FlexPosit_4.1b,none,10.90
phi-2,FlexPosit_4.1b,fp8_e4m3,11.22
phi-2,FlexPosit_4.4b,none,10.51
phi-2,FlexPosit_4.4b,fp8_e4m3,10.81
phi-2,FlexPosit_5.0b,none,10.36
phi-2,FlexPosit_5.0b,fp8_e4m3,10.72
llama-2-7b,FP16,none,5.47
llama-2-7b,FP16,fp8_e4m3,5.48
llama-2-7b,Posit41,none,6.52
llama-2-7b,Posit41,fp8_e4m3,6.54
llama-2-7b,FlexPosit_4.1b,none,6.01
llama-2-7b,FlexPosit_4.1b,fp8_e4m3,6.02
llama-2-7b,FlexPosit_4.4b,none,5.80
llama-2-7b,FlexPosit_4.4b,fp8_e4m3,5.81
llama-2-7b,FlexPosit_5.0b,none,5.70
llama-2-7b,FlexPosit_5.0b,fp8_e4m3,5.71
qwen2.5-7b,FP16,none,6.85
qwen2.5-7b,FP16,fp8_e4m3,6.87
qwen2.5-7b,Posit41,none,8.39
qwen2.5-7b,Posit41,fp8_e4m3,8.42
qwen2.5-7b,FlexPosit_4.1b,none,7.76
qwen2.5-7b,FlexPosit_4.1b,fp8_e4m3,7.79
qwen2.5-7b,FlexPosit_4.4b,none,7.46
qwen2.5-7b,FlexPosit_4.4b,fp8_e4m3,7.48
qwen2.5-7b,FlexPosit_5.0b,none,7.36
qwen2.5-7b,FlexPosit_5.0b,fp8_e4m3,7.38
