model,method,bitwidth,ppl,edp
GPT2-XL,FlexPosit,4.1,17.53,2201783747
GPT2-XL,FlexPosit,4.2,16.98,2300249966
GPT2-XL,FlexPosit,4.3,16.71,2401408110
GPT2-XL,FlexPosit,4.4,16.54,2507210494
GPT2-XL,FlexPosit,4.5,16.43,2609637279
GPT2-XL,FlexPosit,4.6,16.41,2718062048
GPT2-XL,FlexPosit,4.7,16.44,2827859929
GPT2-XL,FlexPosit,4.8,16.54,2939330583
GPT2-XL,FlexPosit,4.9,16.92,3057611364
GPT2-XL,FlexPosit,5.0,17.77,3175595355
GPT2-XL,BitMoD,4,17.72,5334556635
GPT2-XL,OliVe_a8w8,8,17.48,7173799324
GPT2-XL,OliVe_a4w4,4,19.11,2807767034
Phi-2,FlexPosit,4.1,10.90,2048740468382
Phi-2,FlexPosit,4.2,10.70,2144628801817
Phi-2,FlexPosit,4.3,10.56,2249791943658
Phi-2,FlexPosit,4.4,10.51,2350230845235
Phi-2,FlexPosit,4.5,10.41,2452846451745
Phi-2,FlexPosit,4.6,10.31,2565284038967
Phi-2,FlexPosit,4.7,10.22,2672452139507
Phi-2,FlexPosit,4.8,10.14,2781795592701
Phi-2,FlexPosit,4.9,10.06,2901457737772
Phi-2,FlexPosit,5.0,10.36,3015384219815
Phi-2,BitMoD,4,10.48,5291073429713
Phi-2,OliVe_a8w8,8,11.73,7160604413296
Phi-2,OliVe_a4w4,4,15.38,2708567475708
